id,name,long_name,named_place,station_type,basin,lon,lat,alt,start_date,end_date,is_open,is_public,department_id,is_daily,is_hourly,is_minutely
62268003,DESVRES,DOUDEAUVILLE (DESVRES),BOIS JULIEN,2,E541,1.821667,50.635,185,1989-07-01,2009-04-07,false,true,62,true,true,true
62548002,CALAIS-MARCK,MARCK (CALAIS-MARCK),AEROD.CALAIS-MARCK,1,E439,1.956167,50.959833,2,1991-04-01,,true,true,62,true,true,true
62685001,RADINGHEM,RADINGHEM,Bois Grard,1,E351,2.113667,50.549167,115,1989-01-01,,true,true,62,true,true,true
62765003,ST-OMER,SAINT-OMER (ST-OMER),DOULAC,2,E403,2.268333,50.77,5,1953-06-01,2003-03-31,false,true,62,true,true,false
84037002,CHATEAUNEUF DU PAPE,CHATEAUNEUF-DU-PAPE (CHATEAUNEUF DU PAPE),DOMAINE DE MONTREDON,3,V548,4.811333,44.0815,106,1987-12-01,2012-12-31,false,true,84,true,true,true
63038001,BESSE-ET-ST-ANA,BESSE-ET-SAINT-ANASTAISE (BESSE-ET-ST-ANA),ROUTE DE COMPAINS,4,K265,2.939167,45.507667,1050,1858-01-01,2016-12-31,false,true,63,true,true,false
63089001,CHAPPES,CHAPPES,BOURG,2,K276,3.214333,45.860667,315,1895-01-01,,true,true,63,true,true,true
63113001,CLERMONT-FD,CLERMONT-FERRAND (CLERMONT-FD),AULNAT,0,K272,3.149333,45.786833,331,1922-03-01,,true,true,63,true,true,true
63125002,COURPIERE,COURPIERE,LES QUATRE VENTS,1,K295,3.572333,45.754,455,2003-06-01,,true,true,63,true,true,true
73235400,ST FRANCOIS LONG,SAINT FRANCOIS LONGCHAMP (ST FRANCOIS LONG),St François Longchamp,4,W106,6.3635,45.417833,1595,1988-01-12,,true,true,73,true,true,false
05136001,SAINT-CREPIN,SAINT-CREPIN,AERODROME DE MONT DAUPHIN,4,X014,6.608333,44.706667,904,1976-03-01,1982-04-30,true,true,5,true,false,false
63211001,MARSAC-EN-LIVRA,MARSAC-EN-LIVRADOIS (MARSAC-EN-LIVRA),MAIRIE,4,K284,3.73,45.478667,540,1894-01-01,2010-08-31,false,true,63,true,true,false
63117001,BRION-SPC,COMPAINS (BRION-SPC),Brion Haut,5,NR,2.955167,45.415667,1209,2021-10-01,,true,true,63,true,true,false
63163001,GELLES,GELLES,VAREILLES,2,K321,2.799333,45.7535,784,1972-05-01,,true,true,63,true,true,true
34063001,CAUX LA GRANGE D'OC,CAUX (CAUX LA GRANGE D'OC),LA GRANGE D'OC,4,Y234,3.366667,43.506667,70,1977-02-01,1983-07-31,true,true,34,true,false,false
63189005,LAQUEUILLE-INRAE,LAQUEUILLE (LAQUEUILLE-INRAE),LES RAZATS,3,K321,2.744667,45.636,1095,1991-12-01,,true,true,63,true,true,true
